Id,Nombres,Apellidos,Edad,Nota 1,% Nota 1,Nota 2,% Nota 2,Nota 3,% Nota 3,Nota 4,% Nota 4,Nota 5,% Nota 5
08814831824,Pedro,Sánchez Hernández,25,2,10%,"4,2",20%,"1,5",30%,"3,2",20%,"4,1",20%
40172269101,Valentina,Martínez Gómez,27,"3,5",10%,"2,2",20%,"3,3",30%,"3,9",20%,"2,2",20%
06159805985,Diego Carlos,Fernández Martínez,23,"1,7",10%,"2,5",20%,"2,7",30%,5,20%,"4,6",20%
48619472746,Lucía,López Martínez,21,"0,2",10%,5,20%,4,30%,"0,4",20%,"3,7",20%
53805125696,Carlos Juan,Rodríguez Gómez,24,2,10%,"4,1",20%,"0,3",30%,"4,8",20%,"3,1",20%
04674885874,Ana,García Hernández,26,"1,3",10%,"4,2",20%,3,30%,"2,1",20%,"0,3",20%
33034344996,Luis Juan,Martínez Gómez,20,"3,4",10%,"1,3",20%,"4,4",30%,"0,7",20%,"2,5",20%
88822707648,María,Martínez González,26,"4,9",10%,"0,5",20%,0,30%,"4,1",20%,"1,9",20%
12870865229,María Luis,López García,27,"3,1",10%,"3,7",20%,"4,7",30%,"1,9",20%,5,20%
88334933549,Carlos Valentina,Fernández Hernández,21,"1,5",10%,0,20%,"0,3",30%,"3,4",20%,"4,4",20%
90724818732,María,Gómez González,25,"1,1",10%,"4,8",20%,"2,5",30%,"1,4",20%,"0,8",20%
41619539801,Ana Pedro,Gómez Rodríguez,23,"3,4",10%,"2,6",20%,"4,9",30%,"4,4",20%,"1,9",20%
60462795915,Sofía,Martínez Fernández,22,2,10%,"2,5",20%,"0,8",30%,"4,4",20%,"0,8",20%
62190947819,Ana,Martínez Martínez,24,"1,4",10%,"0,6",20%,"4,3",30%,5,20%,"4,4",20%
04859043806,María Lucía,López Pérez,27,"4,7",10%,"4,2",20%,"2,6",30%,"4,4",20%,"1,2",20%
00540800110,Carlos,Fernández Sánchez,20,3,10%,"4,5",20%,"0,2",30%,"3,9",20%,"4,5",20%
92304949673,Pedro Sofía,Rodríguez González,24,"0,7",10%,"0,2",20%,"0,9",30%,"0,5",20%,"2,4",20%
07905061422,María María,Rodríguez Gómez,18,"1,6",10%,"0,1",20%,"4,9",30%,"3,9",20%,"3,9",20%
67861869121,Ana Lucía,García Gómez,24,"4,5",10%,"0,7",20%,"3,3",30%,"4,6",20%,"3,1",20%
59387638403,Diego,Pérez Martínez,24,"3,2",10%,"2,7",20%,"4,3",30%,"2,1",20%,"3,6",20%
70918972520,Carlos Luis,González Martínez,27,"3,9",10%,"1,6",20%,"2,8",30%,"3,9",20%,1,20%
10194867873,Pedro,Fernández González,24,"2,7",10%,"2,9",20%,"3,9",30%,"3,5",20%,"2,2",20%
23897794369,Ana,Pérez Martínez,22,"2,6",10%,2,20%,"3,1",30%,"0,7",20%,2,20%
07761203965,Ana Luis,González Gómez,24,"0,9",10%,"0,7",20%,"1,8",30%,0,20%,4,20%
21432531035,María Sofía,Hernández Rodríguez,21,"3,1",10%,0,20%,"0,2",30%,"3,8",20%,"4,2",20%
